#contig	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_92528_length_1847_cov_451.504464	89590.5944634	184638.49908	93384.8313578	74568.9769924	113655.921322	96192.8753235	136238.696441	211021.143858	125764.299489	117098.126499	233364.363183	282478.603775	344160.993792	201050.409835	265131.749498	122255.444595	166400.883926	91073.5072419	179076.130471	85510.4371881
NODE_92527_length_1847_cov_711.523996	94939.2860909	188690.126425	177013.037485	238394.761811	171869.929849	99399.3032749	155935.856796	204528.186942	152314.541194	177457.98577	604814.150914	518733.436887	597979.728485	353821.5858	514807.388056	207212.617374	190335.256372	281256.422899	237641.909108	287885.136908
NODE_92562_length_1847_cov_5.611049	4011.5196027	1736.41197261	5575.2141359	12428.1638038	0.0	1603.21481163	1641.42934186	0.0	2794.76256213	1207.19676774	5523.41640277	15407.9241875	12906.0378576	10444.9172598	26156.4948529	2072.12691615	5698.66096287	10714.5303777	11262.6491589	7125.86992821
NODE_92625_length_1846_cov_11.571189	0.0	0.0	0.0	0.0	1386.22032304	0.0	0.0	0.0	0.0	0.0	1381.00106408	14125.5181837	15058.8139743	6528.89692057	43995.0197521	17614.786911	9118.86297546	6697.30042826	12390.1343633	1425.3310464
NODE_92726_length_1845_cov_3.666480	0.0	776.318664048	1613.87638641	2167.63135494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6228.47563564	2919.48914856	0.0	17608.9844688	16872.4688075	9119.87095718	0.0	15281.5137593	7512.20268009
NODE_92722_length_1845_cov_4.226816	1337.45812603	578.898924199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2674.00681541	4303.02367453	0.0	26161.9109454	2072.529416	1139.98409426	0.0	2252.97344679	0.0
NODE_92762_length_1844_cov_208.030743	96307.2853678	170789.364607	126881.414052	110768.552089	144203.099522	97825.2134017	144486.804747	202973.58105	131397.263522	142495.852273	262446.255722	292849.484564	333523.66384	163263.628402	209316.980927	112963.911487	102609.915652	88423.390866	95760.8424215	118328.468985
NODE_92764_length_1844_cov_126.574064	78918.4707859	138336.952872	136641.523279	120941.175763	120631.438222	49714.4518367	98513.7307341	154259.921457	107633.93001	123174.379601	257049.363094	231890.379366	335027.841034	219645.474991	252101.347835	105799.025513	111572.535502	132957.230827	164515.369072	169651.658803
NODE_92780_length_1844_cov_12.228060	33440.029397	61368.3820389	62469.6200933	67506.0822796	40210.4788036	16036.9194089	37763.5972757	77941.8557005	37741.766846	68832.7411838	144851.497494	147709.170087	148471.82342	109713.159092	190288.164307	61145.6037142	83123.7205466	92396.9983543	103430.295778	94092.5166144
NODE_92785_length_1844_cov_6.598099	6688.0058794	14639.8924242	10044.0387976	14973.9936551	11538.3503054	4811.07582268	11493.2680913	14614.0971739	14610.2548582	20529.0629772	53866.8302117	25774.1672456	30774.5275303	29681.5641976	41028.214668	9513.04045346	18611.7925558	14737.2308438	22476.3571418	13577.0685951
