	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_26891_length_4452_cov_4.647487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15269.9480541	0.0	0.0	71247.0893943	0.0	3600.35995217	15317.4230575	1274.02798837
NODE_27054_length_4434_cov_7.924869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7637.45181448	0.0	1069.76621175	50642.7822982	0.0	2400.95723573	104893.252528	0.0
NODE_27105_length_4429_cov_13.948331	1199.58832064	5317.62453182	132379.807983	85882.3334997	3665.17752696	1451.99842499	2980.14179566	1451.02428281	3767.35269055	0.0	0.0	2316.10145131	3819.07269549	3449.08116921	16130.621892	940.125952299	67232.8052709	2401.15815114	1018.34612539	2549.05409685
NODE_27248_length_4414_cov_240.229869	142786.551352	28720.8455327	124800.096618	192404.130927	64570.0659638	81144.6330943	576677.143106	308356.036321	261030.606845	324643.272338	131350.668114	97379.8573571	171905.087116	73601.7717295	192327.36855	53339.3485639	146459.337631	34825.5636421	40743.2846343	84043.2219733
NODE_27714_length_4366_cov_234.145442	117684.503491	24481.6125335	128664.203097	138288.732669	48928.9315124	68155.3883004	492192.190426	285536.865093	243894.360631	302897.942306	140138.52081	107782.530827	151028.292529	86333.4638697	198127.370251	49751.5978435	127474.613107	36055.9281645	34658.0026528	86163.9669267
NODE_27852_length_4351_cov_225.394320	138134.754818	24486.5925249	139838.332771	164023.060119	75862.3690953	76874.6328713	529601.761626	323309.441497	275235.880777	328947.008238	124048.338123	87166.8957843	170193.650406	64481.6084649	207818.123444	62908.4681841	121388.120411	24043.5227021	30587.9330095	86785.4391883
NODE_28087_length_4328_cov_230.063187	103719.608403	30998.4517894	123948.543569	173398.697318	71260.1927325	71283.5158335	452329.723131	336026.243523	241129.903323	292749.984301	123359.944552	117188.718095	157406.420686	73806.0815228	189060.180676	49907.6207913	118828.283567	36079.7635711	37794.7935973	84342.3349435
NODE_28221_length_4315_cov_217.949531	140625.118565	24759.5359443	142411.625673	182938.017406	61223.4911431	71114.4699996	525420.93647	323522.14698	254131.397129	272258.858988	151433.707637	117064.051334	153087.609672	76051.4403307	203657.291424	57307.9379851	110238.596987	33682.1575025	42848.0796307	84287.1265955
NODE_28272_length_4310_cov_5.503878	1202.0278566	14913.2871804	13623.2988384	16812.343545	3673.7811624	4354.30375008	0.0	0.0	0.0	1082.85071953	3724.10656671	1147.79410471	0.0	0.0	2143.94532252	0.0	2041.63856977	1203.03904473	1020.27789624	0.0
NODE_28334_length_4305_cov_4.240000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72005.7270094	1147.90061311	0.0	3457.59053045	25729.5350267	2818.87862277	0.0	6015.73594683	6122.15786196	0.0
NODE_28452_length_4292_cov_234.312249	121443.593734	37292.575563	110263.528575	158295.877914	62477.1685712	63882.1653182	495747.655077	267055.836772	215413.108847	296797.081936	126659.860466	105632.156626	199102.022028	69170.2478473	185508.568136	63908.1509459	106200.156835	34899.3438081	41843.6888939	71546.1653177
NODE_28575_length_4281_cov_7.271178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10953.9426878	0.0	0.0	60582.4659247	0.0	7416.46068165	114611.967276	1391.31927106
NODE_28672_length_4272_cov_4.258715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59625.8809797	3445.81404192	0.0	2306.63181897	25744.2233216	8461.20966974	0.0	6019.28792136	12251.0014428	0.0
NODE_28704_length_4269_cov_11.908401	0.0	532.924246967	0.0	0.0	0.0	0.0	1493.76570808	0.0	0.0	0.0	0.0	0.0	9576.49930473	0.0	1072.7338252	78012.0243819	0.0	0.0	107038.789538	1278.14907501
NODE_28796_length_4261_cov_6.814551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21071.6023319	0.0	1072.88398833	39492.8418626	0.0	0.0	94962.7102768	6391.68758564
NODE_28803_length_4260_cov_226.964328	123919.283751	22694.2980353	110892.642733	159329.800539	62518.3814758	44216.7923746	493013.835223	254771.318254	241855.933835	275293.517891	151581.770008	136305.085101	111107.005377	72378.1235063	185072.331452	63941.8559934	123632.788525	35527.2310491	40363.6926606	72866.5891412
NODE_28991_length_4242_cov_3.809888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63386.779727	2298.51450619	0.0	2308.07752896	21464.8232015	3762.4154754	0.0	3613.54199154	15321.4669606	0.0
NODE_29035_length_4237_cov_221.186275	128785.338647	26125.1860408	137669.700917	165423.020865	57642.6611133	52315.6547333	527572.322118	309467.426871	231930.293388	296012.027378	120570.136867	116086.149938	183984.899019	80791.3271057	192127.200682	51737.5446147	119597.188387	40957.2188141	35753.1244923	56271.977289
NODE_29101_length_4229_cov_229.658122	123989.03858	25594.9728307	136451.405453	175360.191477	87091.8721727	62496.6901835	515683.473475	281905.599875	267073.405735	297140.549304	155396.570168	102309.416758	162929.262814	83113.7447941	227579.647396	72442.3086177	132905.803012	37348.8401904	28606.3853696	85699.734526
NODE_29165_length_4223_cov_7.811660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19170.4483584	0.0	2147.20531436	48927.0349791	0.0	2409.87068227	108306.691576	2558.48878584
NODE_29314_length_4210_cov_240.559807	133665.920532	24001.8993268	131540.18081	156603.685459	63811.2762168	62517.1332939	502387.981693	295091.917926	264660.794638	291822.107911	164156.052059	118446.434272	155321.181416	105089.145748	240543.24732	64936.7262724	127840.117003	39772.4217282	39857.5653343	87010.0427057
NODE_29320_length_4209_cov_235.714011	104767.114704	24002.2478943	101759.568816	167510.291205	72402.7979821	71241.6879846	472857.969821	308180.789687	279148.717445	307569.07119	134311.976065	101198.914595	139983.640953	69291.0327166	192223.28043	48938.6585028	118637.888039	40978.4059124	30660.1932025	80613.7756397
NODE_29403_length_4202_cov_3.312033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1453.8804387	1254.50751449	0.0	0.0	0.0	0.0	1155.02276684	5370.04259548	0.0	0.0	3616.21159629	1022.12776431	1279.75191887
NODE_29415_length_4201_cov_4.471056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75872.6249755	2300.33218235	0.0	0.0	10740.2770979	8471.30903122	0.0	4821.70777479	15332.2096764	0.0
NODE_29894_length_4152_cov_96.439590	279238.114064	311149.174419	389907.912326	308236.126861	266623.127144	259005.151401	124222.626234	167361.211139	236796.685627	182182.276612	134402.38072	219837.267923	97910.8511469	169708.769118	180598.295717	253385.784264	186238.315029	335419.185162	453718.584003	317685.16122
