#contig	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_1195_length_21774_cov_24.611446	148539.214825	560169.790615	16615.5768796	7480.6050161	192261.647384	65915.5551125	121977.189637	68190.9400098	117825.838988	115187.806847	1256.70887119	34526.5417206	3725.39505617	10764.3984957	3059.42189974	2669.09600256	5764.26028864	45346.4761844	4885.94783309	6034.53865464
NODE_1196_length_21770_cov_42.810362	67511.4365091	36366.9207145	39270.2254542	50871.3729188	21477.0255393	178587.777679	52117.7548286	64617.4856334	170632.910718	104168.433722	10353.8517249	94268.1018073	7747.97254116	64008.3683917	16901.7226868	363760.8229	252503.493122	69356.7985354	15837.282856	47646.1639245
NODE_1197_length_21770_cov_11.031223	7958.74938306	12705.6623232	23343.2725696	28519.1703031	13935.2415008	14764.4680769	11325.5121513	19093.5202574	21208.6989083	13779.5503035	90110.8776017	96027.2166902	35894.6613901	37353.919029	88051.9571561	237551.023935	161371.800835	160313.291564	118771.55911	197982.894469
NODE_1202_length_21730_cov_208.599723	2236470.01702	1542552.12948	941064.140743	841413.061228	2215693.88007	2132134.95647	1049377.7173	828293.811602	919563.939895	906481.219884	141966.05907	263272.786752	439500.895547	339345.331565	216593.06472	135238.30246	46967.4400397	91829.2483661	86908.1373034	284742.136101
NODE_1203_length_21725_cov_23.535994	49860.1222105	31648.4688693	35982.5406372	54280.3750223	32044.773047	35705.3179677	52381.8466247	60010.0375875	38883.7985698	53468.9844213	55004.3489692	82003.2753425	84355.151357	190536.996343	45545.408999	40927.5120416	45147.0515313	38545.7327754	42488.552846	81746.7136503
NODE_1204_length_21721_cov_22.974938	52126.6193446	22870.7608011	31339.7221222	44160.4302517	27467.0205165	38451.9848982	39640.4050318	55918.5977729	35349.0032692	49965.9681414	58515.4357352	77687.5247501	61023.0452211	230367.462785	57690.9967704	39148.1400857	40344.286135	43080.6466874	31866.4837055	61310.19826
NODE_1206_length_21704_cov_15.361726	24091.7871035	32917.0653396	42313.3448261	52441.2385034	37920.3964973	27684.5270482	46589.2531746	60975.0477944	50665.6785737	42631.3942701	87774.1152254	53690.9260524	107689.020714	68258.0000605	75121.5519285	67294.854462	73004.7668033	324896.909529	50084.3189822	289503.499316
NODE_1209_length_21699_cov_23.741915	40795.334935	27445.239463	44108.4644268	46001.2571647	44634.6488078	49438.9282554	72203.1080924	47736.0986643	37706.1543934	47927.2367553	42131.7066445	86320.7741003	66408.471702	205611.744347	48582.5878409	32920.4587035	49950.7938943	55552.1472174	39592.2242516	66119.8203006
NODE_1212_length_21684_cov_107.843220	797783.192745	2137778.74626	196168.66649	202472.072875	1436336.52805	826563.868272	1476637.45864	1695142.11357	1287914.08227	1392692.05778	57451.5541546	91569.5292475	134319.099367	97962.7313013	209785.284037	25882.3778557	256480.734974	37447.139543	26073.1725455	84153.3448858
NODE_1213_length_21658_cov_18.586631	87814.6989674	115955.5197	140758.126097	142455.150484	104568.907499	56351.7896146	109061.924981	144619.959446	91252.9498869	130873.639594	329698.976598	414349.745326	364725.003158	250084.80782	635720.128737	255131.159377	206577.88702	211092.641048	327902.89259	185393.684561
NODE_1214_length_21653_cov_29.267664	42508.3035337	32168.0888721	102577.788694	100086.356691	42906.144056	22108.0247482	96273.4297635	296091.787938	124480.019292	105587.54532	34890.8299535	73499.6167396	157481.370582	88213.6638265	56793.8596235	44938.3057322	55089.5822348	65441.8906409	35883.8674405	63887.3754594
NODE_1215_length_21652_cov_23.940964	97458.5080904	25921.1477786	91702.2586294	115927.533232	26323.9225173	16480.1199028	70789.3252781	94111.3622339	63631.158084	62205.3779408	21066.4992698	186674.685709	41282.3299952	103347.779107	34413.6970063	72071.1951184	79731.6787707	63490.1338268	16416.7529938	88964.0156486
NODE_1216_length_21647_cov_29.035430	9065.92937758	3049.55976593	15415.176776	19321.3341413	5388.48124183	0.0	0.0	19644.8720236	7070.1610558	3238.15958478	24640.6178829	746319.258712	14722.4062352	132553.540266	200512.328176	364367.769411	279374.827311	732024.870654	88672.2727093	124574.528754
NODE_1218_length_21635_cov_18.496386	39663.7945219	27954.4224047	35984.8574497	38643.0330125	34335.9995095	10986.8674511	22652.8120671	17731.3326992	30637.5729741	33652.4666468	334727.091176	157542.344148	206414.10726	120573.96744	79962.1061394	92536.8030307	44189.1559766	30611.6655911	209557.35226	111807.417346
NODE_1220_length_21618_cov_9.801002	10199.3696707	11089.1415954	22588.1064506	11815.8706554	2625.82741894	4699.8392665	4247.45264339	13639.6458569	19823.9987795	12753.4666547	69556.0288039	99585.1891983	60408.8094865	25837.6047617	97636.5418592	180334.626511	146927.436742	126065.439137	103142.780802	179134.376105
NODE_1222_length_21603_cov_232.412382	577898.607762	120789.059781	584368.460795	757737.071529	349546.59049	320127.186617	2555987.808	1405736.49599	1259589.32556	1475555.61492	687539.122036	567649.0741	889146.03248	374208.8172	951510.94724	259103.765602	570620.862609	155859.399812	184294.449035	365357.95207
NODE_1224_length_21598_cov_7.151511	26065.4054891	104195.789798	95188.3246467	131839.262828	34719.6026426	26094.4076039	22653.3078961	32735.612157	42422.3330292	41811.6867157	74149.0964501	61507.8210463	52321.5079973	59318.4003863	53828.1914357	16038.6852579	34583.6893421	42233.0950155	35731.789853	26449.7304257
NODE_1227_length_21582_cov_18.308078	55531.2447675	33037.9749572	38307.9463572	41405.0061058	25180.7483533	4120.20389073	28316.9150822	38191.9688776	44779.5976774	27534.8154295	327716.277451	132728.876795	213601.836143	103353.270377	76928.1909352	73853.8831788	17292.0352615	19274.6989486	188318.066474	97384.1454885
NODE_1228_length_21576_cov_24.395892	40798.629254	32021.5250759	32503.8448629	51526.4960637	30903.7804751	38455.4298713	52386.4619332	60016.2020041	44779.7869569	55069.8734742	46816.7946586	90644.4917624	71799.2508242	170103.030563	62757.4600491	49829.3158603	44190.92775	49887.6272425	40560.9592088	67327.5832387
NODE_1230_length_21558_cov_23.642748	36265.883061	22364.4507238	47595.5358073	46926.5819538	41205.5883637	52190.097412	42475.980674	43648.6807741	36531.3297824	60169.6645862	37453.8873296	78775.3507583	75390.1888651	199173.997778	57697.0391958	42711.3148743	46112.829999	46486.7554917	27040.9374116	70935.2966309
NODE_1233_length_21543_cov_24.044164	38532.8845108	26430.9256636	51078.704863	51527.8654652	38916.844372	49443.7162272	42476.3607544	58653.5290136	49494.5715434	50991.7434048	60863.1574812	75538.8032173	78981.0486597	181950.235402	71868.9443737	36482.9083238	46113.3081002	37416.5373778	36698.7544242	67329.094548
NODE_1234_length_21543_cov_21.358805	42700.2873695	614164.248281	33665.5021887	47847.2939312	95002.869232	116742.093134	52387.4987633	106394.785514	201513.580521	136657.889376	1170.44811977	0.0	0.0	2153.24858659	4716.75258457	28271.8335619	98951.4806255	14053.3138403	12554.8353071	14913.5676324
NODE_1235_length_21539_cov_24.421616	43066.2695656	30754.3664809	44113.5508968	32205.0159223	33193.8759616	39829.7562817	45308.2255835	62745.8038893	42424.0322061	54051.3957568	55011.0743281	80934.654651	89751.4419312	173337.72834	56685.508573	32923.679871	48034.8324202	49888.8600389	43459.1747654	62520.0535442
NODE_1237_length_21520_cov_15.789844	23800.0841296	34055.6448054	52240.4479745	52448.9745573	28615.8144897	16481.4660125	52388.2200429	55926.34859	53334.5767358	30861.2649878	93637.0715401	51798.8689655	100522.999779	59215.6031595	71870.0097051	53124.639084	69171.063812	324614.728978	27099.1922216	264352.981539
NODE_1238_length_21515_cov_27.072414	244928.534478	85105.5509785	80102.3169717	80974.1871899	152115.981283	43067.9525554	68756.8011226	247235.510233	175591.221768	66821.3796165	9682.64734644	37025.6331687	17950.5977546	28292.9005615	77571.0496	34696.0246151	54974.7833567	19400.828844	10623.5097686	24540.7800681
NODE_1239_length_21514_cov_22.454821	41933.6428823	22873.2676774	41792.5534759	42327.4572812	28615.9504341	57685.3665754	48140.6926952	43650.0226159	38889.3657668	48953.0426712	47989.1834401	87410.9533773	91548.1258932	167957.782123	41502.5660977	35593.7069775	51878.5009285	55558.9692677	32836.3269769	68532.762775
NODE_1240_length_21505_cov_12.021445	11553.6023779	8568.00643604	16849.1485844	15983.5326062	11540.3424407	9864.9546653	4314.39690385	6341.5267699	9551.82111878	9448.56793887	77221.6348663	117768.350973	50046.4823957	44701.8007345	102961.823068	259535.10614	147906.366625	185295.240958	99406.842402	217928.516124
NODE_1242_length_21478_cov_15.894506	173102.347407	150966.421928	46437.3882647	35887.370885	194593.810405	137349.221407	96283.4885194	46379.3221819	65995.692575	75471.1158565	11704.9551254	12950.095514	19746.1873018	11843.4928468	34417.562148	28475.5961655	38308.4508448	78237.9964435	117827.113149	125045.290752
NODE_1245_length_21475_cov_33.069701	74802.5031033	34066.0287005	113953.22214	145051.847842	32253.2219956	23349.4089857	58053.387744	88977.4267661	129634.654755	96530.7186506	58733.7575832	120574.915909	99404.5011076	42716.3877603	92235.5985051	80275.8690488	135061.750364	45418.6654195	24417.6440063	48648.6962511
NODE_1248_length_21447_cov_16.251356	4533.57989698	11275.2626031	10448.6552528	9202.12985269	8012.8682837	12361.6628879	2831.9150704	4092.37388621	8249.64351655	7139.30127799	47991.3283175	171592.492229	22550.655312	164736.308537	174115.886696	209027.744632	209445.102655	182559.151199	182538.995847	137071.787061
NODE_1249_length_21436_cov_60.265189	98272.0013038	174843.502736	219993.901313	195874.546081	104524.33884	77228.7268091	178953.577844	181225.248602	191828.506607	188953.66798	149683.29965	165308.294121	73703.7708591	73468.8400896	216438.97724	139240.287876	167495.417954	109987.272781	82094.8171448	54231.5904517
NODE_1250_length_21428_cov_22.777102	46469.6919017	22874.3138479	46439.0989785	41410.1814417	28617.8225484	53567.8773556	42479.2939783	55929.9539378	49498.4715713	46916.0759012	58526.7713967	76624.0732388	89758.6660169	183043.011081	56689.5911458	33815.8376821	40352.3414756	41955.1147668	28974.7858901	43286.3942538
NODE_1257_length_21394_cov_59.813768	64853.0565772	168444.33324	188984.294361	159669.055449	99449.1429791	98852.4802249	185881.595201	191654.655966	216855.53109	205725.183096	269067.251582	168669.785936	111369.33181	78874.0016732	257992.770719	173962.603388	211356.813321	118165.913224	83391.0476393	68701.1584272
NODE_1258_length_21391_cov_22.234580	145090.97999	225694.713448	48363.5961705	32230.4193093	302776.387178	199749.737997	150454.135108	66899.1956689	109048.604301	103236.326744	14864.3738031	24346.5848128	90677.4471874	32773.3408513	20696.1455046	34584.4928178	63724.8921763	108230.500382	50234.8907606	61421.6773555
NODE_1259_length_21385_cov_23.783216	58938.8614669	30499.7807565	37152.4396009	41411.6457245	41211.0310437	41207.1774518	48144.449455	53203.2851615	25928.5353769	65276.4652418	42140.4765955	72309.4218592	84375.787604	205661.039039	66814.6299823	45385.6126018	42275.128256	54429.8619079	32838.9882531	51704.7190938
NODE_1260_length_21380_cov_24.418523	420945.147668	138774.417447	66178.0347327	60737.3300114	302014.497666	1313071.73183	210986.60785	151425.23452	169714.667966	249701.274	2341.14087534	1079.25351244	10771.414433	6460.59019764	0.0	2669.7415925	960.80324987	0.0	1931.70072024	4809.76293434
NODE_1262_length_21366_cov_31.400497	6884.77510201	5808.97413711	18576.4909662	19450.2690885	10467.732929	1409.30672595	1442.93338603	12480.2925723	8418.99751371	9263.36101029	30435.1916063	712118.841098	25249.1463171	153763.505906	188873.768026	441983.908766	303515.419256	776507.784717	165610.003078	133689.067182
NODE_1265_length_21348_cov_22.728502	36270.9718267	24908.6616392	39475.5578376	34970.898968	25185.2412214	50823.3884068	48145.5255683	65482.6621658	33000.796502	60178.2687228	44482.7301898	87421.1334258	95149.7528656	211050.9099	38469.9690029	44496.7313848	42276.231216	39689.4233722	39600.8631212	58920.8557693
NODE_1266_length_21343_cov_24.618658	145804.458819	227220.772899	32573.8688992	23781.0915538	332501.815967	185216.313839	109035.800748	69575.5838108	132948.801054	129879.051279	7691.47701936	8441.52907206	62473.0496047	18485.6422192	13569.6786426	25808.1757419	66006.355928	93042.7620329	29104.8028234	53546.0867661
NODE_1270_length_21300_cov_11.811203	24937.1095613	104212.402411	45282.3996559	45095.8381537	72124.0447009	71429.6506034	55227.3692193	49113.6654466	62467.8980047	67320.3004642	4682.5553923	16189.6580429	16158.0656601	35535.4131679	11136.4024883	66747.0976109	51886.1889599	90721.6582501	85965.4786262	60125.3152727
NODE_1278_length_21235_cov_21.761001	124691.067279	175388.055584	22076.9411281	35134.4051185	145400.267929	158308.137406	15577.5682918	42294.2887848	78972.4479298	81722.8896242	6099.4879257	5413.12142019	5386.27582949	11845.7418995	181081.503343	88999.7853324	94168.1239805	202648.890415	270523.855301	60128.0432082
NODE_1280_length_21223_cov_11.520928	1269.6520518	3050.24647009	0.0	3681.5284108	3683.33498887	0.0	1416.1508888	2728.67953668	0.0	1142.2338255	21072.5652863	274157.696433	5386.32997647	1076.89064367	105029.457316	406732.129953	87379.9930406	43095.0784054	399589.181908	1202.56976745
NODE_1281_length_21205_cov_19.125437	73682.6010266	29994.3891689	40640.9278698	43258.6049124	34347.3309753	9616.10834419	42485.0837603	27287.2302625	36540.2520657	40802.8781375	292678.047587	129525.978821	219047.083891	131383.128455	91121.6963817	76541.2726537	30749.4301088	24950.078322	226035.275359	119056.056625
NODE_1282_length_21202_cov_12.513217	12695.5814303	507284.168609	88728.2237802	96742.6439558	74419.378549	43159.9512276	1454.21399548	2728.73157165	34182.9049562	27628.3556994	3668.80661065	11273.4562753	1904.80423641	1088.42976866	7087.26425298	13494.155341	10570.1324584	35157.020456	21805.3055406	19241.4215709
NODE_1284_length_21185_cov_46.048982	320007.300912	151671.331887	32513.2333521	29162.7330234	239456.648983	205066.561153	86051.3132899	61523.1204268	121409.677175	116587.687325	4682.91919703	0.0	68228.7957346	15223.6224779	0.0	1780.05766989	2882.79848149	3402.33210146	2897.93037107	5790.69724205
NODE_1285_length_21177_cov_22.382729	29473.6020597	22877.4323464	44125.3654088	32214.5969556	22898.7134846	54950.2289821	31156.2572083	55939.9385346	40077.2059748	51004.5881079	48000.1093951	68002.5086691	61047.1880043	203540.645331	50624.1216768	39161.3456739	39398.4862782	38559.975141	40571.1526002	52914.8480596
NODE_1288_length_21166_cov_21.257449	128859.264976	174886.293973	20901.6710498	12117.3920001	280511.762325	212281.274903	79307.3950565	60033.5731044	103893.76221	93849.1619216	15219.6620035	11873.5473857	75411.8325543	17231.1149934	11137.3938906	14240.5965927	84230.6100955	94132.4014372	32388.4854305	56523.1109925
NODE_1289_length_21164_cov_18.112701	3437.29373076	4083.87497726	17747.3806558	19410.2868637	5724.73955834	4124.82713301	5664.81764906	6889.7734656	9477.45949153	7233.42673429	163272.169549	127296.178376	57446.5931786	104463.746759	113312.442415	317247.138134	137743.597757	183728.565517	317105.174302	182795.356502
NODE_1291_length_21150_cov_16.750415	0.0	544.128054683	2322.4322537	6443.06378996	4579.84075161	0.0	0.0	0.0	4715.0608804	2040.21612658	66733.1230731	165496.131702	12568.7865119	183082.806482	206550.136414	215652.812358	177152.959451	212686.866486	192206.810461	117858.019587
NODE_1293_length_21143_cov_238.745922	688437.455577	129641.181866	608731.182903	780745.271685	324703.71958	297623.549611	2476440.36915	1360906.12294	1276599.13883	1445322.54756	747389.302824	554901.189501	858854.915413	387807.22623	1003862.83181	288642.520521	576773.283862	171371.699383	173113.753007	375223.330791
NODE_1294_length_21139_cov_24.285098	109962.101316	25928.2841454	121928.876235	108612.679487	54958.5734605	10990.3088253	52400.3986897	105060.81534	56581.1135866	44885.2327447	26927.6106222	155438.555551	35911.1223119	118466.372737	29362.7335794	54293.182154	82642.9453686	90731.7321606	25116.1041745	80577.0395931
