	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Replication and repair;Mismatch	4.85894912352	5.07966795268	5.24390455194	5.24034778307	4.9117307235	4.60152572308	4.58243448787	4.63096194834	4.85453592601	4.89044812171	6.31223087427	5.58740200837	5.48124983686	5.21123977046	5.49339778076	5.29223393459	5.09932227715	5.39317303003	5.57446995419	5.36698024387
Replication and repair;Non-homologous	0.353496295774	0.396317239508	0.439871639084	0.430061859596	0.352593702146	0.346006422722	0.228193651724	0.25199432517	0.344572670989	0.321333579849	0.278683646473	0.257068072826	0.231884517702	0.2776459577	0.235456422493	0.356649671406	0.303331259632	0.362785963316	0.352539416398	0.345272643301
Replication and repair;Nucleotide	5.33925254406	5.55248877549	5.3488263638	5.31946695538	5.3139939944	5.27878773368	4.21261023037	4.3823631397	4.97985496642	4.7935849875	4.51951675652	4.75237625049	4.44580532693	4.72691220507	4.6027259149	5.36255524283	5.16213753837	5.49431927233	5.26128092562	5.20889758769
Signal transduction;AMPK	1.35422276374	1.45399697964	1.51259808544	1.46707636773	1.45287044747	1.29145012931	1.23704356485	1.32738375975	1.36626684018	1.32529836454	1.38737714606	1.47897340827	1.4254655881	1.47941838972	1.4602755986	1.49486661851	1.54023431601	1.46476993513	1.3696944199	1.4680275738
Signal transduction;FoxO	0.477137563361	0.436816099221	0.390703786217	0.413763832189	0.456776652951	0.535940523683	0.523499746297	0.466510094709	0.44779342736	0.485515748011	0.476837329096	0.436682195634	0.491528960563	0.430072283987	0.467217066444	0.354845362476	0.366348841263	0.345026608013	0.354569376154	0.347961025553
Signal transduction;HIF-1	2.1456273969	2.19219949678	2.32084539946	2.2582404571	2.05417307478	2.13652991773	1.9900583798	2.07645341821	2.11327922871	2.08218061676	2.03149586099	2.09236490207	1.93302548515	2.10290656898	2.01944389555	2.41501433701	2.37236163414	2.41569087715	2.29575840555	2.33204900978
Signal transduction;MAPK	1.2089011588	1.10933949337	1.02667283704	1.04761173818	1.17558425706	1.26041948142	1.15826696224	1.09452063079	1.09368034633	1.1143414233	0.986198144302	1.03763561248	1.04086413274	1.04696678792	1.03438181786	0.980879024094	0.960922008063	0.959321784659	0.969424699986	0.921562943109
Signal transduction;PI3K-Akt	0.277598722856	0.313887644896	0.296778899715	0.285895442031	0.283257366473	0.273769885826	0.216747257545	0.230354689925	0.257475609766	0.252403421315	0.186515232389	0.207884928671	0.178854814179	0.258885663366	0.188160472279	0.280814382024	0.275012154006	0.266793162201	0.247961157365	0.234973695079
Signal transduction;Phosphatidylinositol	0.669298546176	0.711789279925	0.772984203111	0.784089074582	0.669963868233	0.636320672994	0.742154557216	0.719231171928	0.689279868254	0.706133488718	0.769086247598	0.783016655512	0.750474252875	0.793264145938	0.764679657392	0.76803444708	0.751902232699	0.704259111453	0.69219008913	0.723871625256
Signal transduction;Two-component	7.29371273075	7.27873412891	7.97022953279	7.99509700401	7.20733036325	7.04823518625	7.48778779149	7.59706957266	7.50670764627	7.65810497107	7.83746437469	8.06414259435	7.54214604775	7.6650337834	7.97303462696	7.80481499844	7.73793683636	7.83318437565	7.86227430733	7.84113762331
Transcription;Basal	3.53794591585	3.82504167998	3.58695433229	3.60072978323	3.60362307688	3.93801878607	2.57575615353	2.85862308038	3.37684418235	3.21027002977	2.19821094597	2.59302551104	2.16050703038	2.85097115583	2.43510907066	3.81098039891	3.64224016909	3.78631741553	3.50510296504	3.44077425265
Transcription;RNA	3.33382541705	3.77358384866	3.17975021816	3.21273696878	3.42094356796	3.5100172248	2.82071953688	2.90215105286	3.10762742087	3.02183053662	2.77415896766	3.05135458406	2.89854906767	3.04301334401	2.89198803056	3.37145130011	3.29354071919	3.47192523811	3.34112959642	3.19210495658
Translation;Aminoacyl-tRNA	9.35593270758	10.4561036653	9.64082247136	9.5586169722	9.4965215689	9.32932831897	8.63864614857	8.89795510593	9.50145467925	9.27896089429	9.21937725663	9.53034669013	9.05710503989	9.37583519101	9.42988147036	10.14182517	9.87154854646	10.3123177257	10.0251538349	9.77062803009
Translation;RNA	4.40786662778	4.92353467434	4.35362783772	4.27982739181	4.48157636254	4.55325625975	3.16031588445	3.31553445322	3.97930671788	3.75596651492	3.12905617721	3.38361138263	3.02766894974	3.66634918664	3.2387963138	4.63506030237	4.38419065502	4.56563992649	4.38427604803	4.18940184061
