#sampleA	sampleB	fold_variance	rearangement_ave
SG1-2017-02-3	SG1-2016-02-3	0.230297153645	0.538261589199
SG1-2017-02-3	SG1-2016-02-4	0.16198312932	0.46763452867
SG1-2017-02-3	SG1-2016-02-5	0.195892827703	0.450407582094
SG1-2017-02-3	SG1-2017-02-1	0.0967190687301	0.39710954469
SG1-2017-02-3	SG1-2017-02-2	0.115150763339	0.4045259131
SG1-2017-02-3	SG1-2017-02-3	0.0	0.0
SG1-2017-02-3	SG1-2017-02-4	0.111254890246	0.416676016967
SG1-2017-02-3	SG1-2017-02-5	0.0923075127512	0.416117008066
SG1-2017-02-4	SG1-2014-09-1	0.176957320156	0.607563307198
SG1-2017-02-4	SG1-2014-09-2	0.170360972962	0.587192031155
SG1-2017-02-4	SG1-2014-09-3	0.128971933584	0.548510912162
SG1-2017-02-4	SG1-2014-09-4	0.130377560294	0.549361084202
SG1-2017-02-4	SG1-2014-09-5	0.170906384451	0.58581975287
SG1-2017-02-4	SG1-2015-06-1	0.230412034764	0.606147526245
SG1-2017-02-4	SG1-2015-06-2	0.209858338869	0.617043506581
SG1-2017-02-4	SG1-2015-06-3	0.163996582095	0.598276052911
SG1-2017-02-4	SG1-2015-06-4	0.150274755082	0.597239113669
SG1-2017-02-4	SG1-2015-06-5	0.158185090225	0.594632820498
SG1-2017-02-4	SG1-2016-02-1	0.194338922202	0.491701098663
SG1-2017-02-4	SG1-2016-02-2	0.156191604604	0.461629604844
SG1-2017-02-4	SG1-2016-02-3	0.207224514389	0.532814717201
SG1-2017-02-4	SG1-2016-02-4	0.146381473132	0.482547384224
SG1-2017-02-4	SG1-2016-02-5	0.172843986098	0.441123787629
SG1-2017-02-4	SG1-2017-02-1	0.0927148404419	0.398551606077
SG1-2017-02-4	SG1-2017-02-2	0.129720235513	0.466079677407
SG1-2017-02-4	SG1-2017-02-3	0.111254890246	0.416676016967
SG1-2017-02-4	SG1-2017-02-4	0.0	0.0
SG1-2017-02-4	SG1-2017-02-5	0.100856383618	0.437172199281
SG1-2017-02-5	SG1-2014-09-1	0.163378998077	0.544534970202
SG1-2017-02-5	SG1-2014-09-2	0.151314385034	0.552294186094
SG1-2017-02-5	SG1-2014-09-3	0.104388757281	0.478753962882
SG1-2017-02-5	SG1-2014-09-4	0.110675346476	0.485069732807
SG1-2017-02-5	SG1-2014-09-5	0.153644390492	0.539083036822
SG1-2017-02-5	SG1-2015-06-1	0.220788791886	0.576696878615
SG1-2017-02-5	SG1-2015-06-2	0.202024051882	0.550064568868
SG1-2017-02-5	SG1-2015-06-3	0.151006496922	0.51975259061
